mappedGenes,riskAllele,traitName,pValue,orValue,ChemicalName,Interaction,InteractionActions
CDH4,rs77835421-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias in APOE e4 non-carriers",5e-6,0.6554718,Lead,Lead affects the methylation of CDH4 gene,affects^methylation
CDH7,rs111940630-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias in APOE e4 non-carriers",3e-6,0.552004,mercuric bromide,mercuric bromide results in decreased expression of CDH7 mRNA,decreases^expression
CDH7,rs111940630-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias in APOE e4 non-carriers",3e-6,0.552004,methylmercuric chloride,methylmercuric chloride results in increased expression of CDH7 mRNA,increases^expression
CDIPTOSP,rs150987621-T,Alzheimer's disease,5e-8,1.8,methylmercuric chloride,methylmercuric chloride results in increased expression of CDIPTOSP mRNA,increases^expression
CDKL1,rs61981931-?,Alzheimer's disease (age of onset) (adjusted for APOE e4 carrier status),2e-6,0.824,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in decreased expression of CDKL1 mRNA",affects^cotreatment|decreases^expression
CDKN2B,rs3217980-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias",3e-6,0.8010756,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of CDKN2B mRNA",affects^cotreatment|increases^expression
CDKN2B,rs3217980-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias",3e-6,0.8010756,lead acetate,lead acetate results in increased expression of CDKN2B mRNA,increases^expression
CDKN3,rs374535490-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias",1e-6,1.501403,Mercury,Mercury results in increased expression of CDKN3 mRNA,increases^expression
CDR2L,rs71380849-A,Alzheimer's disease in APOE e4- carriers,9e-7,1.47,methylmercuric chloride,methylmercuric chloride results in increased expression of CDR2L mRNA,increases^expression
CELF1,rs10838725-C,Alzheimer's disease (late onset),1e-8,1.08,methylmercuric chloride,methylmercuric chloride results in increased expression of CELF1 mRNA,increases^expression
CELF2,rs62209-C,Alzheimer's disease (late onset),2e-7,2.04,Mercuric Chloride,Mercuric Chloride results in decreased expression of CELF2 mRNA,decreases^expression
CELF2,rs62209-C,Alzheimer's disease (late onset),2e-7,2.04,methylmercuric chloride,methylmercuric chloride results in decreased expression of CELF2 mRNA,decreases^expression
CELSR1,rs13054402-?,Rapidly progressive Alzheimer's disease (pathologically-confirmed vs clinical) (case-control set 1),3e-6,0.2539,methylmercuric chloride,methylmercuric chloride results in decreased expression of CELSR1 mRNA,decreases^expression
CHD2,rs12594991-?,Alzheimer's disease in APOE e4+ carriers,2e-7,2.21,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in decreased expression of CHD2 mRNA",affects^cotreatment|decreases^expression
CHD2,rs12594991-?,Alzheimer's disease in APOE e4+ carriers,2e-7,2.21,methylmercuric chloride,methylmercuric chloride results in decreased expression of CHD2 mRNA,decreases^expression
CHN2,rs12155094-C,"Alzheimer's disease, proxy Alzheimer's disease or related dementias",1e-6,0.7078663,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of CHN2 mRNA",affects^cotreatment|increases^expression
CHN2,rs12155094-C,"Alzheimer's disease, proxy Alzheimer's disease or related dementias",1e-6,0.7078663,methylmercuric chloride,methylmercuric chloride results in decreased expression of CHN2 mRNA,decreases^expression
CLDN18,rs16847609-A,Alzheimer's disease in APOE e4- carriers,5e-7,1.19,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of CLDN18 mRNA",affects^cotreatment|increases^expression
CLDN18,rs16847609-A,Alzheimer's disease in APOE e4- carriers,5e-7,1.19,mercuric bromide,"[NOG protein co-treated with mercuric bromide co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of CLDN18 mRNA",affects^cotreatment|increases^expression
CLU,rs11787077-T,Alzheimer's disease,2e-44,0.91,Lead,Lead affects the expression of CLU mRNA,affects^expression
CLU,rs11787077-T,Alzheimer's disease,2e-44,0.91,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of CLU mRNA",affects^cotreatment|increases^expression
CLYBL,rs9517934-?,Alzheimer's disease in APOE e4+ carriers,4e-6,1.896,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in decreased expression of CLYBL mRNA",affects^cotreatment|decreases^expression
CLYBL,rs9517934-?,Alzheimer's disease in APOE e4+ carriers,4e-6,1.896,lead acetate,[sodium arsenite co-treated with lead acetate] results in increased expression of CLYBL protein,affects^cotreatment|increases^expression
CMTM5,rs74037001-?,Rapidly progressive Alzheimer's disease (typical) (case-control set 2),3e-6,0.5796,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in decreased expression of CMTM5 mRNA",affects^cotreatment|decreases^expression
CMTM5,rs74037001-?,Rapidly progressive Alzheimer's disease (typical) (case-control set 2),3e-6,0.5796,methylmercuric chloride,methylmercuric chloride results in decreased expression of CMTM5 mRNA,decreases^expression
CNTN4,rs57442028-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias in APOE e4 carriers",9e-6,1.7358549,methylmercuric chloride,methylmercuric chloride results in decreased expression of CNTN4 mRNA,decreases^expression
CNTN6,rs72997522-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset >=75)",6e-6,1.6940125,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of CNTN6 mRNA",affects^cotreatment|increases^expression
CNTNAP2,rs117834366-A,Alzheimer’s disease and/or vascular dementia (clinical subgroup VaD++),2e-8,6.03,methylmercuric chloride,methylmercuric chloride results in increased expression of CNTNAP2 mRNA,increases^expression
COBL,rs113603769-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias in APOE e4 carriers",8e-6,1.2840254,methylmercuric chloride,methylmercuric chloride results in increased expression of COBL mRNA,increases^expression
COL12A1,rs73462024-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias",9e-6,0.8609662,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of COL12A1 mRNA",affects^cotreatment|increases^expression
COL12A1,rs73462024-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias",9e-6,0.8609662,mercuric bromide,mercuric bromide results in increased expression of COL12A1 mRNA,increases^expression
COL12A1,rs73462024-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias",9e-6,0.8609662,methylmercuric chloride,methylmercuric chloride results in increased expression of COL12A1 mRNA,increases^expression
COL21A1,rs189031305-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias in APOE e4 non-carriers",8e-6,0.64268535,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of COL21A1 mRNA",affects^cotreatment|increases^expression
COL21A1,rs189031305-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias in APOE e4 non-carriers",8e-6,0.64268535,methylmercuric chloride,methylmercuric chloride results in decreased expression of COL21A1 mRNA,decreases^expression
COL25A1,rs10019747-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias",6e-6,1.3624711,Lead,Lead affects the expression of COL25A1 mRNA,affects^expression
COL6A3,rs10177231-?,Alzheimer's disease in non-APOE e4 carriers,6e-6,6.513,Lead,Lead affects the methylation of COL6A3 gene,affects^methylation
COL6A3,rs10177231-?,Alzheimer's disease in non-APOE e4 carriers,6e-6,6.513,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of COL6A3 mRNA",affects^cotreatment|increases^expression
COL6A3,rs10177231-?,Alzheimer's disease in non-APOE e4 carriers,6e-6,6.513,mercuric bromide,"[NOG protein co-treated with mercuric bromide co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of COL6A3 mRNA",affects^cotreatment|increases^expression
CPNE8,rs12827647-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias in APOE e4 carriers",1e-6,1.4769808,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of CPNE8 mRNA",affects^cotreatment|increases^expression
CPS1,rs178585-C,Alzheimer's disease in APOE e4+ carriers,4e-6,1.13,Mercury,[Diethylhexyl Phthalate co-treated with diisononyl phthalate co-treated with butylbenzyl phthalate co-treated with lead nitrate co-treated with Mercury] results in decreased expression of CPS1 mRNA,affects^cotreatment|decreases^expression
CPS1,rs178585-C,Alzheimer's disease in APOE e4+ carriers,4e-6,1.13,lead nitrate,[Diethylhexyl Phthalate co-treated with diisononyl phthalate co-treated with butylbenzyl phthalate co-treated with lead nitrate co-treated with Mercury] results in decreased expression of CPS1 mRNA,affects^cotreatment|decreases^expression
CPS1,rs178585-C,Alzheimer's disease in APOE e4+ carriers,4e-6,1.13,methylmercuric chloride,methylmercuric chloride results in decreased expression of CPS1 mRNA,decreases^expression
CST3,rs13041727-C,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset <75)",3e-6,0.76781994,Lead,"[Metals, Heavy results in increased abundance of Lead] which results in increased secretion of CST3 protein",increases^abundance|increases^secretion
CST3,rs13041727-C,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset <75)",3e-6,0.76781994,Mercury,"[Metals, Heavy results in increased abundance of Mercury] which results in increased secretion of CST3 protein",increases^abundance|increases^secretion
CST3,rs13041727-C,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset <75)",3e-6,0.76781994,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of CST3 mRNA",affects^cotreatment|increases^expression
CST4,rs13041727-C,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset <75)",3e-6,0.76781994,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of CST4 mRNA",affects^cotreatment|increases^expression
CST4,rs13041727-C,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset <75)",3e-6,0.76781994,mercuric bromide,"[NOG protein co-treated with mercuric bromide co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of CST4 mRNA",affects^cotreatment|increases^expression
CST6,rs12785292-A,Alzheimer's disease,1e-9,2.44,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of CST6 mRNA",affects^cotreatment|increases^expression
CTNND2,rs2907292-?,Alzheimer's disease in non-APOE e4 carriers,9e-7,7.512,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in decreased expression of CTNND2 mRNA",affects^cotreatment|decreases^expression
CTNND2,rs2907292-?,Alzheimer's disease in non-APOE e4 carriers,9e-7,7.512,mercuric bromide,mercuric bromide results in decreased expression of CTNND2 mRNA,decreases^expression
CTNND2,rs2907292-?,Alzheimer's disease in non-APOE e4 carriers,9e-7,7.512,methylmercuric chloride,methylmercuric chloride results in decreased expression of CTNND2 mRNA,decreases^expression
CTSB,rs1065712-C,Alzheimer's disease,2e-9,1.09,Ethylmercury Compounds,Ethylmercury Compounds results in increased expression of CTSB protein,increases^expression
CTSB,rs1065712-C,Alzheimer's disease,2e-9,1.09,Methylmercury Compounds,BAX protein affects the reaction [Methylmercury Compounds affects the localization of CTSB protein],affects^localization|affects^reaction
CTSB,rs1065712-C,Alzheimer's disease,2e-9,1.09,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of CTSB mRNA",affects^cotreatment|increases^expression
CTSH,rs12592898-A,Alzheimer's disease,4e-9,0.94,Lead,Lead affects the expression of CTSH mRNA,affects^expression
CUL3,rs60430611-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias",1e-7,0.67583925,Methylmercury Compounds,Methylmercury Compounds results in decreased expression of CUL3 mRNA,decreases^expression
CUL3,rs60430611-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias",1e-7,0.67583925,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in decreased expression of CUL3 mRNA",affects^cotreatment|decreases^expression
CUL3,rs60430611-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias",1e-7,0.67583925,mercuric bromide,"[NOG protein co-treated with mercuric bromide co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in decreased expression of CUL3 mRNA",affects^cotreatment|decreases^expression
CUL3,rs60430611-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias",1e-7,0.67583925,methylmercuric chloride,methylmercuric chloride results in decreased expression of CUL3 mRNA,decreases^expression
CUZD1,rs184924400-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias in APOE e4 carriers",5e-7,0.47678006,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of CUZD1 mRNA",affects^cotreatment|increases^expression
